asset_uid,asset_code,asset_name,asset_type,category,configuration_details,quantity,rate,warranty_end_date,warranty_end_year,purchase_date,po_invoice_bill_no,po_invoice_bill_path,tagname_hostname,serial_number,vendor_name,assigned_to,asset_location,status,remarks,source_sheet,source_row,duplicate_warning,live_sync_status,live_hostname,live_machine_id,live_last_seen
HW-27D08E255E,,2U- rack,2U- rack,2U- rack,D- link,1,,,,,,,,NA,,Sagar,Network Room,Working,,Network Room,61,,not_checked,,,
HW-94B680E836,,POe switch 2,POe switch 2,POe switch 2,D- link,1,,,,,,,,NA,,Sagar,Network Room,Working,,Network Room,62,,not_checked,,,
HW-F2A9769DC1,Director,Mac PC,Mac PC,Mac PC,Mack,1,,,,,,,Director,NA,,,Director Room,working,,Director room,5,duplicate merged from Director room row 7; duplicate merged from Director room row 8; duplicate merged from Director room row 9; duplicate merged from Seminar hall  row 6; duplicate merged from Seminar hall  row 7; duplicate merged from Seminar hall  row 8,not_checked,,,
HW-A069687617,Sagar,Router,Router,Router,Tp Link 1 GBPS router,1,,,,,,,Sagar,NA,,,Director Room,working,,Director room,6,,not_checked,,,
HW-AFBAE2528B,,LAPTOP,LAPTOP,LAPTOP,i5 12 - 8 GB RAM - 500 GB SSD - windows 11 pro LIC,1,,,,,,,YTM1_Laptop_Shivam,0PKFGHK,PW,Chandrmauli,Laptop Detail,Working,,Laptop Detail,5,,not_checked,,,
HW-AC08421C52,,LAPTOP,LAPTOP,LAPTOP,i5 12 - 8 GB RAM - 500 GB SSD - windows 11 pro LIC,1,,,,,,,SHIVDEEP_LAPPTOP,9PRCGHK,PW,Shivdeep,Laptop Detail,Working,,Laptop Detail,6,,not_checked,,,
HW-7297C381AC,,LAPTOP,LAPTOP,LAPTOP,i7 10 Gen -16 GB RAM - 500 GB SSD - 4 GB NVDI Grafhic - Window 11 Pro LIC,1,,,,,,,HR02_Laptop_Hrshini,15mh05,,Hrshini,Laptop Detail,Working,,Laptop Detail,7,,not_checked,,,
HW-DE4242A83A,,LAPTOP,LAPTOP,LAPTOP,AMD Ryzen 7 8840HX with Radeon Graphics - 16 GB RAM - 1 TB SSD windows 11 pro LIC,1,,,,,,,DESIGNER1_HARSHINI_LAPTOP,178BFBFF00A60F12,,Hrshini,Laptop Detail,Working,,Laptop Detail,8,,not_checked,,,
HW-84E4F64620,,LAPTOP,LAPTOP,LAPTOP,AMD Ryzen 9 8940HX with Radeon Graphics - 16 GB RAM - 1 TB SSD windows 11 pro LIC,1,,,,,,,DESIGNER3_LAPTOP_BHAVESH,178BFBFF00A60F12,,Bhavesh,Laptop Detail,Working,,Laptop Detail,9,,not_checked,,,
HW-55168B1E54,,LAPTOP,LAPTOP,LAPTOP,i7 12 Gen - 16 GB RAM -500 GB SSD - 4 GB NVDI Graphic card -Windows 11 Pro LIC,1,,,,,,,IT1_Laptop,BE0C0E5,,Sagar,Laptop Detail,Working,,Laptop Detail,10,,not_checked,,,
